"2020-02-18 09:33:42 [main] INFO  c.g.cucaishop.CuCaiShopApplication - Starting CuCaiShopApplication on DLAP-0042 with PID 9504 (E:\Mirae\cu-cai-shop\out\production\classes started by Administrator in E:\Mirae\cu-cai-shop)
""2020-02-18 09:33:42 [main] INFO  c.g.cucaishop.CuCaiShopApplication - No active profile set, falling back to default profiles: default
""2020-02-18 09:33:44 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
""2020-02-18 09:33:44 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2020-02-18 09:33:44 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
""2020-02-18 09:33:44 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2020-02-18 09:33:44 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1696 ms
""2020-02-18 09:33:45 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2a47597, org.springframework.security.web.context.SecurityContextPersistenceFilter@4978777f, org.springframework.security.web.header.HeaderWriterFilter@6ea246af, org.springframework.web.filter.CorsFilter@12f279b5, org.springframework.security.web.authentication.logout.LogoutFilter@609319c3, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@abad89c, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@602f8f94, com.gaogao.cucaishop.adm.security.JwtAuthenticationFilter@ceddaf8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@67bd351e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2349f14d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5ff6dd3c, org.springframework.security.web.session.SessionManagementFilter@1b90fee4, org.springframework.security.web.access.ExceptionTranslationFilter@1084ac45, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@834e986]
""2020-02-18 09:33:45 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2020-02-18 09:33:45 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
""2020-02-18 09:33:45 [main] INFO  c.g.cucaishop.CuCaiShopApplication - Started CuCaiShopApplication in 3.752 seconds (JVM running for 5.578)
""2020-02-18 10:41:59 [Thread-10] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
""2020-02-18 11:01:31 [main] INFO  c.g.cucaishop.CuCaiShopApplication - Starting CuCaiShopApplication on DLAP-0042 with PID 10616 (E:\Mirae\cu-cai-shop\out\production\classes started by Administrator in E:\Mirae\cu-cai-shop)
""2020-02-18 11:01:31 [main] INFO  c.g.cucaishop.CuCaiShopApplication - No active profile set, falling back to default profiles: default
""2020-02-18 11:01:33 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
""2020-02-18 11:01:33 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2020-02-18 11:01:33 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
""2020-02-18 11:01:33 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2020-02-18 11:01:33 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1654 ms
""2020-02-18 11:01:34 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@63f6bed1, org.springframework.security.web.context.SecurityContextPersistenceFilter@4c5a2baf, org.springframework.security.web.header.HeaderWriterFilter@4087c7fc, org.springframework.web.filter.CorsFilter@7ef8eda7, org.springframework.security.web.authentication.logout.LogoutFilter@3e8799f, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@664212ab, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@2693c618, com.gaogao.cucaishop.adm.security.JwtAuthenticationFilter@2152ab30, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@63f855b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2a235b8e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@115ca7de, org.springframework.security.web.session.SessionManagementFilter@4cfa83f9, org.springframework.security.web.access.ExceptionTranslationFilter@3878be7b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@c7f4457]
""2020-02-18 11:01:34 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2020-02-18 11:01:34 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
""2020-02-18 11:01:34 [main] INFO  c.g.cucaishop.CuCaiShopApplication - Started CuCaiShopApplication in 3.815 seconds (JVM running for 5.109)
""2020-02-18 11:01:37 [Thread-10] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
"
